location,primary_contact_source,contact_sources,population_source
Honduras,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Hong_Kong,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Hungary,mistry_2021,mistry_2021|prem_2021|prem_2017,https://population.un.org/wpp/
Iceland,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
India,mistry_2021,mistry_2021|prem_2021|prem_2017,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Andaman_and_Nicobar_Islands,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Andhra_Pradesh,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Arunachal_Pradesh,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Assam,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
India_Bihar,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
